lat,lon,year,name
37.72173,-122.38793,2020,CPUC ignition 2020-12-27
38.07391,-122.22423,2020,CPUC ignition 2020-12-22
39.16631,-122.14187,2020,CPUC ignition 2020-12-22
35.69576,-120.25588,2020,CPUC ignition 2020-12-17
35.33042,-119.00944,2020,CPUC ignition 2020-12-13
36.44257,-119.58304,2020,CPUC ignition 2020-12-12
40.58855,-122.2986,2020,CPUC ignition 2020-12-11
35.37936,-119.09724,2020,CPUC ignition 2020-12-09
35.15356,-120.63168,2020,CPUC ignition 2020-12-07
37.07052,-121.97728,2020,CPUC ignition 2020-12-07
39.93817,-121.73582,2020,CPUC ignition 2020-12-07
34.88811,-120.42413,2020,CPUC ignition 2020-12-04
35.34728,-119.05191,2020,CPUC ignition 2020-12-03
34.85594,-120.4512,2020,CPUC ignition 2020-12-03
35.40263,-118.99263,2020,CPUC ignition 2020-12-03
36.56469,-121.91182,2020,CPUC ignition 2020-11-30
40.38317,-122.45166,2020,CPUC ignition 2020-11-30
39.36225,-121.83261,2020,CPUC ignition 2020-11-30
35.96614,-121.09136,2020,CPUC ignition 2020-11-28
36.70513,-121.65557,2020,CPUC ignition 2020-11-23
37.48748,-122.20769,2020,CPUC ignition 2020-11-21
37.31025,-121.84962,2020,CPUC ignition 2020-11-21
39.96031,-122.18821,2020,CPUC ignition 2020-11-20
35.71813,-119.5885,2020,CPUC ignition 2020-11-17
37.34373,-122.11661,2020,CPUC ignition 2020-11-17
38.2105,-122.13832,2020,CPUC ignition 2020-11-13
39.53798,-121.64659,2020,CPUC ignition 2020-11-12
38.39386,-122.87079,2020,CPUC ignition 2020-11-12
38.3928,-121.58311,2020,CPUC ignition 2020-11-12
40.49569,-121.94674,2020,CPUC ignition 2020-11-11
37.39258,-120.75595,2020,CPUC ignition 2020-11-10
39.21647,-122.01605,2020,CPUC ignition 2020-11-10
38.99094,-121.40394,2020,CPUC ignition 2020-11-08
38.26663,-122.00267,2020,CPUC ignition 2020-11-08
37.95865,-122.19741,2020,CPUC ignition 2020-11-07
36.87536,-120.10118,2020,CPUC ignition 2020-11-07
36.72953,-121.27901,2020,CPUC ignition 2020-11-06
38.65574,-121.86734,2020,CPUC ignition 2020-11-06
37.29342,-120.41516,2020,CPUC ignition 2020-11-05
