lat,lon,year,date,end_date,name,county,circuit,cause,outage_type,division,customer_minutes,restoration_min,medical_baseline,life_support,schools,hospitals
36.28541,-121.30705,2021,2021-11-06,2021-11-06,LOS OSITOS 2103,MONTEREY,LOS OSITOS 2103,UNK,FTS,Central Coast,808,101,0,0,0,0
35.45977,-120.52856,2021,2021-11-05,2021-11-05,TEMPLETON 2113,SAN LUIS OBISPO,TEMPLETON 2113,UNK,FTS,Los Padres,524037,119,274,189,9,1
35.44776,-120.85516,2021,2021-11-04,2021-11-04,CAYUCOS 1102,SAN LUIS OBISPO,CAYUCOS 1102,UNK,FTS,Los Padres,2600,25,1,1,0,0
34.90275,-120.25879,2021,2021-11-04,2021-11-04,SISQUOC 1103,SANTA BARBARA,SISQUOC 1103,UNK,FTS,Los Padres,1824,48,0,0,0,0
35.5612,-121.02162,2021,2021-11-03,2021-11-03,PERRY 1101,SAN LUIS OBISPO,PERRY 1101,UNK,FTS,Los Padres,40950,26,66,43,0,0
34.90275,-120.25879,2021,2021-11-03,2021-11-03,SISQUOC 1103,SANTA BARBARA,SISQUOC 1103,UNK,FTS,Los Padres,266,7,0,0,0,0
35.59842,-120.82783,2021,2021-11-02,2021-11-03,TEMPLETON 2110,SAN LUIS OBISPO,TEMPLETON 2110,VEG,FTS,Los Padres,152645,696,47,33,0,0
36.71051,-118.93965,2021,2021-11-02,2021-11-03,DUNLAP 1102,FRESNO,DUNLAP 1102,EF,FTS,Fresno,77976,1408,6,4,0,0
35.45977,-120.52856,2021,2021-11-01,2021-11-01,TEMPLETON 2113,SAN LUIS OBISPO,TEMPLETON 2113,3RD,FTS,Los Padres,984,6,10,4,0,1
34.94534,-120.2312,2022,2022-01-29,2022-01-29,SISQUOC 1102,Santa Barbara,SISQUOC 1102,Unknown,HLT,Los Padres,24180,284,0,0,0,0
38.28007,-122.60077,2022,2022-03-07,2022-03-07,LAKEVILLE 1102,Sonoma,LAKEVILLE 1102,Unknown,HLT,Sonoma,7663,79,3,2,0,0
38.77952,-122.6786,2022,2022-03-07,2022-03-07,MIDDLETOWN 1101,Lake,MIDDLETOWN 1101,Animal,FTS,Humboldt,233710,257,51,35,1,0
36.44479,-120.39939,2022,2022-03-27,2022-03-28,CANTUA 1103,Fresno,CANTUA 1103,3rd Party,FTS,Fresno,12596,1228,0,0,0,0
35.35372,-120.77251,2022,2022-04-06,2022-04-06,BAYWOOD 1101,San Luis Obispo,BAYWOOD 1101,Unknown,HLT,Los Padres,75690,261,9,5,11,0
35.5612,-121.02162,2022,2022-04-06,2022-04-06,PERRY 1101,San Luis Obispo,PERRY 1101,Equipment,FTS,Los Padres,194376,658,23,17,2,0
36.81576,-121.3907,2022,2022-04-07,2022-04-07,HOLLISTER 2106,San Benito,HOLLISTER 2106,Animal,HLT,Central Coast,24149,163,16,12,1,0
35.40111,-120.60592,2022,2022-04-08,2022-04-08,ATASCADERO 1103,San Luis Obispo,ATASCADERO 1103,Unknown,FTS,Los Padres,171099,459,19,13,1,0
39.94493,-122.36435,2022,2022-04-08,2022-04-08,CORNING 1102,Tehama,CORNING 1102,Unknown,FTS,North Valley,43969,241,11,9,1,0
37.22494,-121.98825,2022,2022-04-08,2022-04-08,LOS GATOS 1108,Santa Clara,LOS GATOS 1108,Unknown,FTS,De Anza,7442,32,22,18,4,0
39.46517,-122.52039,2022,2022-04-08,2022-04-09,ELK CREEK 1101,Glenn,ELK CREEK 1101,Unknown,FTS,North Valley,63910,581,22,19,5,0
35.00594,-119.81897,2022,2022-04-09,2022-04-09,CUYAMA 1103,San Luis Obispo,CUYAMA 1103,Animal,FTS,Kern,26090,513,0,0,0,0
40.47673,-122.43361,2022,2022-04-09,2022-04-09,JESSUP 1101,Shasta,JESSUP 1101,Vegetation,FTS,North Valley,171400,208,173,124,4,0
38.30566,-122.4718,2022,2022-04-09,2022-04-10,SONOMA 1102,Sonoma,SONOMA 1102,Unknown,FTS,Sonoma,100050,870,3,2,0,0
38.57734,-121.95282,2022,2022-04-09,2022-04-09,PUTAH CREEK 1105,Yolo,PUTAH CREEK 1105,Unknown,HLT,Sacramento,860,86,0,0,0,0
36.23397,-120.44003,2022,2022-04-09,2022-04-10,COALINGA NO 2 1105,Fresno,COALINGA NO 2 1105,Unknown,FTS,Fresno,14154,622,0,0,0,0
38.48806,-122.38568,2022,2022-04-10,2022-04-10,SILVERADO 2102,Napa,SILVERADO 2102,Unknown,FTS,North Bay,87966,54,32,22,1,0
36.43035,-121.90464,2022,2022-04-10,2022-04-10,OTTER 1101,Monterey,OTTER 1101,Unknown,FTS,Central Coast,33614,274,6,3,0,0
38.27278,-122.42314,2022,2022-04-10,2022-04-10,SONOMA 1105,Sonoma,SONOMA 1105,Vegetation,FTS,Sonoma,99195,797,6,6,0,0
37.5521,-121.2316,2022,2022-04-10,2022-04-10,WESTLEY 1103,Stanislaus,WESTLEY 1103,3rd Party,FTS,Yosemite,18338,668,0,0,0,0
38.69738,-121.97432,2022,2022-04-10,2022-04-10,MADISON 1105,Yolo,MADISON 1105,Unknown,HLT,Sacramento,34412,193,6,6,0,0
39.46517,-122.52039,2022,2022-04-10,2022-04-10,ELK CREEK 1101,Glenn,ELK CREEK 1101,Unknown,FTS,North Valley,211545,620,35,25,3,0
38.76454,-122.11113,2022,2022-04-10,2022-04-10,MADISON 2101,Yolo,MADISON 2101,Animal,FTS,Sacramento,238602,344,18,8,12,0
36.43035,-121.90464,2022,2022-04-10,2022-04-11,OTTER 1101,Monterey,OTTER 1101,Vegetation,FTS,Central Coast,21869,1128,4,2,0,0
39.58422,-122.25754,2022,2022-04-11,2022-04-11,LOGAN CREEK 2102,Glenn,LOGAN CREEK 2102,Equipment,FTS,North Valley,14348,211,1,0,0,0
