lat,lon,year,name
36.28541,-121.30705,2021,MONTEREY - LOS OSITOS 2103 - UNK
35.45977,-120.52856,2021,SAN LUIS OBISPO - TEMPLETON 2113 - UNK
35.44776,-120.85516,2021,SAN LUIS OBISPO - CAYUCOS 1102 - UNK
34.90275,-120.25879,2021,SANTA BARBARA - SISQUOC 1103 - UNK
35.5612,-121.02162,2021,SAN LUIS OBISPO - PERRY 1101 - UNK
34.90275,-120.25879,2021,SANTA BARBARA - SISQUOC 1103 - UNK
35.59842,-120.82783,2021,SAN LUIS OBISPO - TEMPLETON 2110 - VEG
36.71051,-118.93965,2021,FRESNO - DUNLAP 1102 - EF
35.45977,-120.52856,2021,SAN LUIS OBISPO - TEMPLETON 2113 - 3RD
34.94534,-120.2312,2022,Santa Barbara - SISQUOC 1102 - Unknown
38.28007,-122.60077,2022,Sonoma - LAKEVILLE 1102 - Unknown
38.77952,-122.6786,2022,Lake - MIDDLETOWN 1101 - Animal
36.44479,-120.39939,2022,Fresno - CANTUA 1103 - 3rd Party
35.35372,-120.77251,2022,San Luis Obispo - BAYWOOD 1101 - Unknown
35.5612,-121.02162,2022,San Luis Obispo - PERRY 1101 - Equipment
36.81576,-121.3907,2022,San Benito - HOLLISTER 2106 - Animal
35.40111,-120.60592,2022,San Luis Obispo - ATASCADERO 1103 - Unknown
39.94493,-122.36435,2022,Tehama - CORNING 1102 - Unknown
37.22494,-121.98825,2022,Santa Clara - LOS GATOS 1108 - Unknown
39.46517,-122.52039,2022,Glenn - ELK CREEK 1101 - Unknown
35.00594,-119.81897,2022,San Luis Obispo - CUYAMA 1103 - Animal
40.47673,-122.43361,2022,Shasta - JESSUP 1101 - Vegetation
38.30566,-122.4718,2022,Sonoma - SONOMA 1102 - Unknown
38.57734,-121.95282,2022,Yolo - PUTAH CREEK 1105 - Unknown
36.23397,-120.44003,2022,Fresno - COALINGA NO 2 1105 - Unknown
38.48806,-122.38568,2022,Napa - SILVERADO 2102 - Unknown
36.43035,-121.90464,2022,Monterey - OTTER 1101 - Unknown
38.27278,-122.42314,2022,Sonoma - SONOMA 1105 - Vegetation
37.5521,-121.2316,2022,Stanislaus - WESTLEY 1103 - 3rd Party
38.69738,-121.97432,2022,Yolo - MADISON 1105 - Unknown
39.46517,-122.52039,2022,Glenn - ELK CREEK 1101 - Unknown
38.76454,-122.11113,2022,Yolo - MADISON 2101 - Animal
36.43035,-121.90464,2022,Monterey - OTTER 1101 - Vegetation
39.58422,-122.25754,2022,Glenn - LOGAN CREEK 2102 - Equipment
40.17123,-122.28,2022,Tehama - RED BLUFF 1103 - Vegetation
39.94493,-122.36435,2022,Tehama - CORNING 1102 - Unknown
36.81576,-121.3907,2022,San Benito - HOLLISTER 2106 - Unknown
34.67252,-120.07695,2022,Santa Barbara - ZACA 1102 - Unknown
35.99487,-121.2179,2022,Monterey - JOLON 1103 - Unknown
35.51258,-120.27736,2022,San Luis Obispo - CHOLAME 2102 - Animal
35.81584,-120.95504,2022,San Luis Obispo - OILFIELDS 1103 - Unknown
36.8724,-119.55169,2022,Fresno - COPPERMINE 1104 - Equipment
36.76993,-119.30893,2022,Fresno - TIVY VALLEY 1107 - Unknown
35.45977,-120.52856,2022,San Luis Obispo - TEMPLETON 2113 - Unknown
36.8724,-119.55169,2022,Fresno - COPPERMINE 1104 - Equipment
36.17885,-121.16466,2022,Monterey - KING CITY 1103 - Animal
35.45977,-120.52856,2022,San Luis Obispo - TEMPLETON 2113 - Animal
35.21197,-120.70549,2022,San Luis Obispo - SAN LUIS OBISPO 1107 - Unknown
38.16406,-120.40199,2022,Calaveras - STANISLAUS 1701 - Equipment
38.00038,-121.89145,2022,Contra Costa - KIRKER 2104 - Animal
35.14447,-120.55768,2022,San Luis Obispo - OCEANO 1104 - Company Initiated
